archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
49,4,106.598,116.522,52.522,50.058,-9.924,2.464
49,5,107.426,115.104,49.881,45.905,-7.678,3.976
49,6,107.218,115.198,49.777,43.827,-7.98,5.95
49,7,111.577,119.01,52.26,44.08,-7.433,8.18
49,8,118.66,116.574,55.324,45.851,2.086,9.473
49,9,119.076,116.144,59.655,47.328,2.932,12.327
49,10,112.282,110.588,58.347,53.354,1.694,4.993
49,11,105.739,107.802,57.907,65.786,-2.063,-7.879
50,0,138.893,144.305,51.535,62.79,-5.412,-11.255
50,1,130.311,140.201,53.374,58.698,-9.89,-5.324
50,2,120.327,130.128,49.96,54.74,-9.801,-4.78
50,3,113.577,121.845,46.89,53.742,-8.268,-6.852
50,4,112.489,120.71,48.583,50.035,-8.221,-1.452
50,5,113.373,118.122,50.296,49.048,-4.749,1.248
50,6,114.964,117.067,47.876,47.44,-2.103,0.436
50,7,115.131,117.084,45.935,46.357,-1.953,-0.422
50,8,113.23,117.036,51.571,46.545,-3.806,5.026
50,9,114.346,116.099,54.433,50.066,-1.753,4.367
50,10,109.906,112.482,62.824,59.226,-2.576,3.598
50,11,107.325,110.716,68.701,74.99,-3.391,-6.289
50,12,107.478,105.254,67.258,73.015,2.224,-5.757
50,13,104.318,104.746,62.966,67.653,-0.428,-4.687
51,0,129.707,131.393,58.022,61.592,-1.686,-3.57
51,1,123.185,126.978,57.09,60.819,-3.793,-3.729
51,2,114.273,122.587,53.599,60.059,-8.314,-6.46
51,3,114.748,117.111,50.492,59.499,-2.363,-9.007
51,4,113.543,118.49,47.167,57.706,-4.947,-10.539
51,5,112.485,119.734,48.475,53.69,-7.249,-5.215
51,6,113.157,122.47,47.706,49.898,-9.313,-2.192
51,7,111.049,119.479,46.82,50.592,-8.43,-3.772
51,8,109.055,116.588,54.113,56.048,-7.533,-1.935
51,9,103.078,113.58,63.75,59.838,-10.502,3.912
51,10,96.389,107.424,69.289,69.052,-11.035,0.237
51,11,95.18,97.101,66.687,67.873,-1.921,-1.186
