archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
39,2,109.389,125.309,53.929,56.791,-15.92,-2.862
39,3,105.325,118.746,55.457,53.268,-13.421,2.189
39,4,102.034,110.468,53.39,52.77,-8.434,0.62
39,5,104.811,105.648,51.381,53.778,-0.837,-2.397
39,6,108.119,110.466,51.591,52.318,-2.347,-0.727
39,7,111.144,121.946,51.4,47.303,-10.802,4.097
39,8,109.101,123.229,49.764,48.474,-14.128,1.29
39,9,112.104,117.538,47.54,48.479,-5.434,-0.939
39,10,105.818,118.77,47.126,48.981,-12.952,-1.855
40,0,113.414,134.998,56.021,55.397,-21.584,0.624
40,1,103.622,122.327,48.627,51.628,-18.705,-3.001
40,2,96.164,113.152,49.915,45.561,-16.988,4.354
40,3,95.42,107.956,49.602,44.811,-12.536,4.791
40,4,96.214,105.823,47.558,44.309,-9.609,3.249
40,5,98.765,108.518,43.8,45.848,-9.753,-2.048
40,6,102.197,117.674,44.109,48.551,-15.477,-4.442
40,7,105.281,120.247,46.301,45.573,-14.966,0.728
40,8,106.124,122.927,43.484,46.219,-16.803,-2.735
40,9,110.495,124.917,41.412,44.524,-14.422,-3.112
40,10,110.794,126.559,43.948,45.32,-15.765,-1.372
41,0,120.57,138.994,60.054,56.51,-18.424,3.544
41,1,115.965,131.477,57.295,58.142,-15.512,-0.847
41,2,113.757,127.217,54.389,57.924,-13.46,-3.535
41,3,115.73,130.264,53.896,57.352,-14.534,-3.456
41,4,115.22,133.92,54.643,50.86,-18.7,3.783
41,5,120.6,152.141,54.37,52.024,-31.541,2.346
41,6,125.445,147.689,52.787,52.181,-22.244,0.606
41,7,129.049,141.191,50.669,52.688,-12.142,-2.019
41,8,129.631,143.249,53.236,52.683,-13.618,0.553
42,0,128.878,140.342,56.49,58.479,-11.464,-1.989
42,1,116.255,132.289,56.076,57.833,-16.034,-1.757
42,2,108.954,121.874,48.588,55.267,-12.92,-6.679
42,3,103.715,116.795,52.171,51.58,-13.08,0.591
42,4,103.804,116.064,49.122,49.697,-12.26,-0.575
42,5,102.143,113.031,51.782,49.694,-10.888,2.088
42,6,104.67,115.45,49.082,52.703,-10.78,-3.621
42,7,107.821,129.294,52.911,51.028,-21.473,1.883
42,8,111.038,131.021,50.929,49.9,-19.983,1.029
42,9,116.754,130.231,51.342,50.896,-13.477,0.446
43,0,121.681,136.571,50.112,53.749,-14.89,-3.637
43,1,113.057,125.755,46.337,53.676,-12.698,-7.339
43,2,106.782,115.391,44.08,52.427,-8.609,-8.347
43,3,102.187,110.644,43.663,51.781,-8.457,-8.118
43,4,100.205,106.65,41.758,50.208,-6.445,-8.45
43,5,99.81,107.814,44.824,49.782,-8.004,-4.958
43,6,103.274,118.069,46.252,46.545,-14.795,-0.293
43,7,105.795,119.211,48.439,46.429,-13.416,2.01
43,8,107.931,117.923,51.766,46.575,-9.992,5.191
43,9,108.701,118.591,50.929,46.028,-9.89,4.901
45,0,119.378,138.38,47.558,48.823,-19.002,-1.265
45,1,112.153,133.161,46.061,49.078,-21.008,-3.017
45,2,107.812,124.471,47.021,47.285,-16.659,-0.264
45,3,106.732,120.886,44.646,46.723,-14.154,-2.077
45,4,108.241,119.838,44.958,47.348,-11.597,-2.39
45,5,111.005,120.64,44.666,45.662,-9.635,-0.996
45,6,113.921,129.331,39.831,46.737,-15.41,-6.906
45,7,118.491,123.182,37.079,46.751,-4.691,-9.672
45,8,121.784,131.643,36.412,46.78,-9.859,-10.368
45,9,124.383,134.747,36.295,47.631,-10.364,-11.336
45,10,31.222,135.266,29.734,48.27,-104.044,-18.536
46,0,116.166,126.568,37.893,48.679,-10.402,-10.786
46,1,109.933,117.542,34.496,48.43,-7.609,-13.934
46,2,103.749,108.503,34.496,47.959,-4.754,-13.463
46,3,99.402,106.883,34.496,47.432,-7.481,-12.936
46,4,100.442,110.148,38.082,46.028,-9.706,-7.946
46,5,103.064,113.945,36.302,44.235,-10.881,-7.933
46,6,106.802,120.635,36.591,42.572,-13.833,-5.981
46,7,109.059,125.542,36.095,41.141,-16.483,-5.046
46,8,110.755,124.915,34.763,43.323,-14.16,-8.56
46,9,115.781,130.152,34.278,43.88,-14.371,-9.602
46,10,119.63,131.385,38.838,43.746,-11.755,-4.908
47,0,127.689,140.793,43.152,55.593,-13.104,-12.441
47,1,122.633,132.974,46.816,53.436,-10.341,-6.62
47,2,115.284,125.868,44.353,49.951,-10.584,-5.598
47,3,109.741,118.37,43.717,45.387,-8.629,-1.67
47,4,108.224,114.649,43.024,44.207,-6.425,-1.183
47,5,106.478,115.489,43.74,43.616,-9.011,0.124
47,6,107.736,123.901,46.102,45.597,-16.165,0.505
47,7,111.099,124.686,46.516,44.095,-13.587,2.421
47,8,111.065,120.75,46.063,45.949,-9.685,0.114
47,9,114.734,122.53,46.471,46.269,-7.796,0.202
48,3,102.291,114.618,43.338,49.181,-12.327,-5.843
48,4,102.495,115.495,40.737,48.356,-13.0,-7.619
48,5,106.727,119.586,38.79,47.828,-12.859,-9.038
48,6,106.782,124.385,44.696,45.973,-17.603,-1.277
48,7,109.967,126.664,44.055,45.53,-16.697,-1.475
48,8,112.582,125.819,44.911,45.379,-13.237,-0.468
